Id_Estudiante,Programa,Satisfaccion_general,Infraestructura,Calidad_docente,Apoyo_institucional
ID_EST_00001,Derecho,1,3,4,1
ID_EST_00002,Derecho,1,3,5,2
ID_EST_00003,Derecho,5,5,4,4
ID_EST_00004,Derecho,5,5,2,5
ID_EST_00005,Derecho,4,1,3,2
ID_EST_00006,Derecho,2,3,2,3
ID_EST_00007,Derecho,5,3,5,2
ID_EST_00008,Derecho,2,4,2,3
ID_EST_00009,Derecho,1,5,1,5
ID_EST_00010,Derecho,3,4,3,2
ID_EST_00011,Derecho,5,5,1,5
ID_EST_00012,Derecho,3,1,2,4
ID_EST_00013,Derecho,1,3,3,1
ID_EST_00014,Derecho,1,4,1,1
ID_EST_00015,Derecho,1,3,2,4
ID_EST_00016,Derecho,3,4,3,5
ID_EST_00017,Derecho,5,3,5,5
ID_EST_00018,Derecho,1,2,1,5
ID_EST_00019,Derecho,4,2,1,4
ID_EST_00020,Derecho,5,5,1,5
ID_EST_00021,Derecho,1,3,1,4
ID_EST_00022,Derecho,1,1,3,3
ID_EST_00023,Derecho,3,3,5,2
ID_EST_00024,Derecho,5,5,1,4
ID_EST_00025,Derecho,2,4,2,1
ID_EST_00026,Derecho,2,4,5,3
ID_EST_00027,Derecho,3,4,3,5
ID_EST_00028,Derecho,3,1,5,5
ID_EST_00029,Derecho,5,2,1,1
ID_EST_00030,Derecho,3,5,2,4
ID_EST_00031,Derecho,4,4,1,3
ID_EST_00032,Derecho,2,1,3,4
ID_EST_00033,Derecho,5,1,1,5
ID_EST_00034,Derecho,4,5,5,2
ID_EST_00035,Derecho,3,3,3,3
ID_EST_00036,Derecho,2,5,4,5
ID_EST_00037,Derecho,2,1,4,5
ID_EST_00038,Derecho,4,5,3,1
ID_EST_00039,Derecho,3,4,3,5
ID_EST_00040,Derecho,1,1,3,2
ID_EST_00041,Derecho,2,2,3,5
ID_EST_00042,Derecho,2,3,2,1
ID_EST_00043,Derecho,2,5,4,2
ID_EST_00044,Derecho,4,3,3,3
ID_EST_00045,Derecho,5,5,5,4
ID_EST_00046,Derecho,1,3,5,4
ID_EST_00047,Derecho,3,2,1,2
ID_EST_00048,Derecho,3,2,1,5
ID_EST_00049,Derecho,1,3,1,3
ID_EST_00050,Derecho,4,4,3,3
ID_EST_00051,Derecho,3,3,1,2
ID_EST_00052,Derecho,1,4,4,4
ID_EST_00053,Derecho,4,3,1,4
ID_EST_00054,Derecho,1,1,5,5
ID_EST_00055,Derecho,5,5,5,1
ID_EST_00056,Derecho,3,3,4,1
ID_EST_00057,Derecho,3,5,2,2
ID_EST_00058,Derecho,5,3,4,4
ID_EST_00059,Derecho,3,1,5,1
ID_EST_00060,Derecho,5,3,3,3
ID_EST_00061,Derecho,5,2,4,3
ID_EST_00062,Derecho,4,4,5,3
ID_EST_00063,Derecho,3,4,5,3
ID_EST_00064,Derecho,1,1,3,2
ID_EST_00065,Derecho,5,3,4,3
ID_EST_00066,Derecho,5,2,1,5
ID_EST_00067,Derecho,1,4,5,2
ID_EST_00068,Derecho,1,4,4,1
ID_EST_00069,Derecho,2,3,4,2
ID_EST_00070,Derecho,4,2,1,2
ID_EST_00071,Derecho,5,2,2,2
ID_EST_00072,Derecho,3,2,4,1
ID_EST_00073,Derecho,4,4,5,2
ID_EST_00074,Derecho,5,2,5,5
ID_EST_00075,Derecho,2,1,2,3
ID_EST_00076,Derecho,5,5,1,5
ID_EST_00077,Derecho,5,4,4,1
ID_EST_00078,Derecho,2,2,5,4
ID_EST_00079,Derecho,5,1,1,1
ID_EST_00080,Derecho,4,1,3,2
ID_EST_00081,Derecho,2,3,5,2
ID_EST_00082,Derecho,5,4,3,1
ID_EST_00083,Derecho,3,5,4,2
ID_EST_00084,Derecho,3,1,1,3
ID_EST_00085,Derecho,4,3,1,1
ID_EST_00086,Derecho,1,3,1,2
ID_EST_00087,Derecho,3,2,2,2
ID_EST_00088,Derecho,5,2,2,4
ID_EST_00089,Derecho,5,2,2,5
ID_EST_00090,Derecho,2,2,4,1
ID_EST_00091,Derecho,3,5,4,5
ID_EST_00092,Derecho,3,1,2,5
ID_EST_00093,Derecho,5,1,2,3
ID_EST_00094,Derecho,2,5,5,5
ID_EST_00095,Derecho,1,2,2,2
ID_EST_00096,Derecho,3,5,5,5
ID_EST_00097,Derecho,1,1,4,4
ID_EST_00098,Derecho,3,3,5,1
ID_EST_00099,Derecho,5,5,2,2
ID_EST_00100,Derecho,2,1,2,4
ID_EST_00101,Derecho,5,1,3,5
ID_EST_00102,Derecho,2,4,5,5
ID_EST_00103,Derecho,5,3,4,1
ID_EST_00104,Derecho,5,2,3,1
ID_EST_00105,Derecho,3,2,2,4
ID_EST_00106,Derecho,5,1,2,4
ID_EST_00107,Derecho,3,4,5,3
ID_EST_00108,Derecho,4,3,4,3
ID_EST_00109,Derecho,2,2,1,2
ID_EST_00110,Derecho,2,4,2,1
ID_EST_00111,Derecho,1,4,2,1
ID_EST_00112,Derecho,3,3,2,4
ID_EST_00113,Derecho,5,2,5,3
